protocol,scheme,checkpointing,file_size,chunk_size,total_chunks,channel,disruptions_configured,disruption_duration_s,completed,integrity_ok,attempts,total_time_s,handshake_time_s,recovery_times_s,payload_bytes_sent,kex_wire_bytes,kex_cpu_ms,checkpoint_writes,checkpoint_bytes,checkpoint_overhead_ms,resumed_from_chunks,goodput_mbps,retransmission_overhead_pct,wasted_bytes,mean_recovery_s,max_recovery_s,repeat
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.7365784930000245,0.025633773000038218,,4196160,64,0.3256410000176402,0,0,0.0,,45.5545,0.044,1856,0.0,0.0,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.722295158999998,0.011249278999969192,,4196160,64,0.1735569999823383,0,0,0.0,,46.4553,0.044,1856,0.0,0.0,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.7372612219999723,0.028255641000043852,,4196160,2272,5.809174999967581,0,0,0.0,,45.5123,0.044,1856,0.0,0.0,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.7421000789999539,0.024948633000008158,,4196160,2272,5.780936000007841,0,0,0.0,,45.2155,0.044,1856,0.0,0.0,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.7111022459999958,0.012710162000018954,,4196160,64,0.16633000001320397,8,3772,36.25381900008051,,47.1865,0.044,1856,0.0,0.0,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.7447829210000236,0.015559495000047718,,4196160,64,0.21407599996337012,8,3771,24.680472000113696,,45.0526,0.044,1856,0.0,0.0,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.7358627360000014,0.023505709999994906,,4196160,2272,5.600819999983742,8,3764,21.03585200006819,,45.5988,0.044,1856,0.0,0.0,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,1,0.7351512989999947,0.02463372500000105,,4196160,2272,5.735341999979937,8,3764,20.6281170001148,,45.6429,0.044,1856,0.0,0.0,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.6898662010000294,0.030844342999955643,0.5206,6949890,128,0.2941749999649801,0,0,0.0,,19.8563,65.698,2755586,0.5206,0.5206,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.6259100749999789,0.03203350600000476,0.5209,6949890,128,0.3386920000139071,0,0,0.0,,20.6373,65.698,2755586,0.5209,0.5209,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.65385999800003,0.061182331000054546,0.5366,6949890,4544,17.122764000021107,0,0,0.0,,20.2886,65.698,2755586,0.5366,0.5366,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.6231402020000019,0.0420310860000086,0.5245,6884325,4544,11.349410000036642,0,0,0.0,,20.6725,64.135,2690021,0.5245,0.5245,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.3063476010000272,0.02411006299996643,0.5147,4851810,128,0.340558999937457,10,4715,30.526884000039445,32,25.6857,15.676,657506,0.5147,0.5147,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.2974110590000123,0.022491420999983802,0.5137,4982940,128,0.3196420000222133,10,4714,28.883223000093494,32,25.8626,18.803,788636,0.5137,0.5137,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.393595547000018,0.05531295399998726,0.5303,4851810,4544,11.634438999976737,10,4709,28.408633000083228,32,24.0776,15.676,657506,0.5303,0.5303,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x0.5s,2,0.5,True,True,6,1.323656126000003,0.05461325799996075,0.5396,4851810,4544,13.124586999992971,10,4707,30.761615999949754,32,25.3498,15.676,657506,0.5396,0.5396,1
