protocol,scheme,checkpointing,file_size,chunk_size,total_chunks,channel,disruptions_configured,disruption_duration_s,completed,integrity_ok,corrupted,attempts,total_time_s,handshake_time_s,recovery_times_s,payload_bytes_sent,kex_wire_bytes,kex_cpu_ms,checkpoint_writes,checkpoint_bytes,checkpoint_overhead_ms,resumed_from_chunks,goodput_mbps,retransmission_overhead_pct,wasted_bytes,mean_recovery_s,max_recovery_s,repeat
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7330684640000982,0.02038351800001692,,4196160,64,0.17081400005736214,0,0,0.0,,45.7726,0.044,1856,0.0,0.0,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7153587159998551,0.010597633999850586,,4196160,64,0.12856299986196973,0,0,0.0,,46.9057,0.044,1856,0.0,0.0,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7304618820000996,0.011608084999807033,,4196160,64,0.13160100002096442,0,0,0.0,,45.9359,0.044,1856,0.0,0.0,2
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.736105082999984,0.029395620000059353,,4196160,2272,7.285382999953072,0,0,0.0,,45.5838,0.044,1856,0.0,0.0,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7373374060000515,0.024761293999972622,,4196160,2272,5.5831429999670945,0,0,0.0,,45.5076,0.044,1856,0.0,0.0,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7432548709998628,0.025935647999858702,,4196160,2272,5.732083000111743,0,0,0.0,,45.1453,0.044,1856,0.0,0.0,2
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.722523228,0.012243283000088923,,4196160,64,0.12731999981951958,8,3775,14.326135999681355,,46.4406,0.044,1856,0.0,0.0,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7576684849998401,0.010796321000043463,,4196160,64,0.23731800001769443,8,3772,63.837659000228086,,44.2864,0.044,1856,0.0,0.0,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7431805930000337,0.011910414999874774,,4196160,64,0.15653799982828787,8,3773,34.06786300024578,,45.1498,0.044,1856,0.0,0.0,2
proposed,ml-kem-768,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.744426083999997,0.027580672999874878,,4196160,2272,5.793793000066216,8,3764,15.95444800000223,,45.0742,0.044,1856,0.0,0.0,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7441162150000764,0.020529919999944468,,4196160,2272,5.738907000022664,8,3767,15.302599999813538,,45.093,0.044,1856,0.0,0.0,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d0x0.0s,0,0.0,True,True,False,1,0.7472336739999719,0.02652080300003945,,4196160,2272,6.009799999901588,8,3767,38.01108499965267,,44.9049,0.044,1856,0.0,0.0,2
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.5459323899999617,0.02366955100001178,0.4197,6949890,128,0.2912649999871064,0,0,0.0,,21.705,65.698,2755586,0.4197,0.4197,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.5198588959999597,0.027992620000077295,0.4260,6949890,128,0.3212019998954929,0,0,0.0,,22.0773,65.698,2755586,0.426,0.426,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.5331890030001887,0.030022700999779772,0.4269,6949890,128,0.3122890000213374,0,0,0.0,,21.8854,65.698,2755586,0.4269,0.4269,2
